page_index,source_url,requested_url,result_count,screened_cards,eligible_items_added_total,min_year_on_page,max_year_on_page,content_type
65,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=65&error=cookies_not_supported&code=23a75a4c-41a9-4bbb-9ebb-fbdc7b453ca9,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=65,20,20,552,2022,2022,"text/html; charset=""UTF-8"""
66,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=66&error=cookies_not_supported&code=8f1ab923-626a-4dbc-8801-82121cc18067,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=66,20,20,557,2021,2022,"text/html; charset=""UTF-8"""
67,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=67&error=cookies_not_supported&code=a3326023-ec85-4b27-babb-cf6a87bfb1a8,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=67,20,20,566,2021,2021,"text/html; charset=""UTF-8"""
68,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=68&error=cookies_not_supported&code=8955fddf-1f19-4f67-ac23-32af59da612e,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=68,20,20,574,2021,2021,"text/html; charset=""UTF-8"""
69,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=69&error=cookies_not_supported&code=d0fca613-cdbd-421c-af4a-ddd2d04383fc,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=69,20,20,580,2021,2021,"text/html; charset=""UTF-8"""
70,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=70&error=cookies_not_supported&code=ac2cee31-2562-4545-a64d-8fc09fc20633,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=70,20,20,584,2021,2021,"text/html; charset=""UTF-8"""
71,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=71&error=cookies_not_supported&code=d89ba034-e34f-408d-8780-b73a8a9521a8,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=71,20,20,588,2021,2021,"text/html; charset=""UTF-8"""
72,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=72&error=cookies_not_supported&code=ce37d35f-b47c-4cce-90b5-c3972c05aaa8,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=72,20,20,590,2021,2021,"text/html; charset=""UTF-8"""
73,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=73&error=cookies_not_supported&code=abbc06e1-dda6-4dc4-9eb0-7027e15ed1af,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=73,20,20,591,2021,2021,"text/html; charset=""UTF-8"""
74,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=74&error=cookies_not_supported&code=cfcce748-cbbf-401c-926e-b50b15cef798,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=74,20,20,591,2021,2021,"text/html; charset=""UTF-8"""
75,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=75&error=cookies_not_supported&code=6a261fd9-c066-406c-81c7-b83d5f8f07ac,https://www.nature.com/nm/research-articles?searchType=journalSearch&sort=PubDate&page=75,20,20,592,2021,2021,"text/html; charset=""UTF-8"""
