source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
The European Physical Journal C,epj_c_1987_v34_i1,journal_issue,1987,1987-03-01,"vol. 34, issue 1",https://doi.org/10.1007/bf01561122,18
The European Physical Journal C,epj_c_1987_v34_i2,journal_issue,1987,1987-06-01,"vol. 34, issue 2",https://doi.org/10.1007/bf01566757,16
The European Physical Journal C,epj_c_1987_v34_i3,journal_issue,1987,1987-09-01,"vol. 34, issue 3",https://doi.org/10.1007/bf01548822,18
The European Physical Journal C,epj_c_1987_v34_i4,journal_issue,1987,1987-12-01,"vol. 34, issue 4",https://doi.org/10.1007/bf01679868,15
The European Physical Journal C,epj_c_1987_v35_i1,journal_issue,1987,1987-03-01,"vol. 35, issue 1",https://doi.org/10.1007/bf01561056,18
The European Physical Journal C,epj_c_1987_v35_i2,journal_issue,1987,1987-06-01,"vol. 35, issue 2",https://doi.org/10.1007/bf01408449,14
The European Physical Journal C,epj_c_1987_v35_i3,journal_issue,1987,1987-01-01,"vol. 35, issue 3",https://istina.msu.ru/publications/article/11896582/,20
The European Physical Journal C,epj_c_1987_v35_i4,journal_issue,1987,1987-12-01,"vol. 35, issue 4",https://doi.org/10.1007/bf01596895,16
The European Physical Journal C,epj_c_1987_v36_i1,journal_issue,1987,1987-03-01,"vol. 36, issue 1",https://doi.org/10.1007/bf01556164,19
The European Physical Journal C,epj_c_1987_v36_i2,journal_issue,1987,1987-06-01,"vol. 36, issue 2",https://doi.org/10.1007/bf01579149,19
The European Physical Journal C,epj_c_1987_v36_i3,journal_issue,1987,1987-09-01,"vol. 36, issue 3",https://doi.org/10.1007/bf01573928,25
The European Physical Journal C,epj_c_1987_v36_i4,journal_issue,1987,1987-12-01,"vol. 36, issue 4",https://doi.org/10.1007/bf01630598,22
The European Physical Journal C,epj_c_1987_v37_i1,journal_issue,1987,1987-03-01,"vol. 37, issue 1",https://doi.org/10.1007/bf01442073,20
The European Physical Journal C,epj_c_1988_v37_i2,journal_issue,1988,1988-06-01,"vol. 37, issue 2",https://doi.org/10.1007/bf01579918,15
The European Physical Journal C,epj_c_1988_v37_i3,journal_issue,1988,1988-09-01,"vol. 37, issue 3",https://doi.org/10.1007/bf01578141,19
The European Physical Journal C,epj_c_1988_v37_i4,journal_issue,1988,1988-12-01,"vol. 37, issue 4",https://doi.org/10.1007/bf01549722,17
The European Physical Journal C,epj_c_1988_v38_i1_2,journal_issue,1988,1988-03-01,"vol. 38, issue 1-2",https://doi.org/10.1007/bf01574529,53
The European Physical Journal C,epj_c_1988_v38_i3,journal_issue,1988,1988-09-01,"vol. 38, issue 3",https://doi.org/10.1007/bf01584403,21
The European Physical Journal C,epj_c_1988_v38_i4,journal_issue,1988,1988-12-01,"vol. 38, issue 4",https://doi.org/10.1007/bf01624369,18
The European Physical Journal C,epj_c_1988_v39_i1,journal_issue,1988,1988-03-01,"vol. 39, issue 1",https://doi.org/10.1007/bf01560393,20
The European Physical Journal C,epj_c_1988_v39_i2,journal_issue,1988,1988-06-01,"vol. 39, issue 2",https://doi.org/10.1007/bf01550999,17
The European Physical Journal C,epj_c_1988_v39_i4,journal_issue,1988,1988-12-01,"vol. 39, issue 4",https://doi.org/10.1007/bf01555986,23
The European Physical Journal C,epj_c_1988_v40_i1,journal_issue,1988,1988-03-01,"vol. 40, issue 1",https://doi.org/10.1007/bf01559728,19
The European Physical Journal C,epj_c_1988_v40_i2,journal_issue,1988,1988-06-01,"vol. 40, issue 2",https://doi.org/10.1007/bf01555889,16
